"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"859","re7.12.3","Ваша семья покупала товары длительного пользования в сетевых магазинах самообслуживания или салонах - т.е. в магазинах работающих в разных местах под единой торговой маркой? ","Your family to buy durable goods in chain stores or self service salons - ie in shops operating in different locations under a single brand?","Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"860","re7.12.4","Ваша семья покупала товары длительного пользования в других не сетевых магазинах самообслуживания салонах? ","Your family to buy durable goods in other non-networked self-service shops salons?","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"861","re7.12.5","Ваша семья покупала товары длительного пользования по телефону или через Интернет с доставкой на дом? ","Your family to buy durable goods over the phone or via the Internet with home delivery?","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"862","re7.12.6","Ваша семья покупала товары длительного пользования у друзей знакомых по объявлению? ","Your family to buy durable goods friends acquaintances ad?","Нет | НЕТ ОТВЕТА | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"863","re7.12.7","Ваша семья покупала товары длительного пользования в других местах? ","Your family to buy durable goods in other places?","Нет | НЕТ ОТВЕТА | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"864","re7.2a","Ваша семья покупала в течение последних 3-х месяцев предметы домашней обстановки: мебель ковры и другое? ","Your family bought over the last 3 months of household furnishings: furniture carpets and other?","Нет | Да | НЕТ ОТВЕТА",8149,0
"865","re7.2b","Сколько всего рублей Ваша семья заплатила за предметы домашней обстановки: мебель ковры и другое? ","How many rubles your family paid for household furnishings: furniture carpets and other?","    3000 |     5000 |    15000 |    10000 |    30000 |    40000",632,7517
"866","re7.3a","Ваша семья покупала в течение последних 3-х месяцев бытовую технику: холодильник стиральную машину пылесос швейную машину утюг кухонный комбайн и тому подобное? ","Your family bought over the last 3 months of household appliances: refrigerators washing machines vacuum cleaners sewing machine iron food processor and the like?","Нет | Да | НЕТ ОТВЕТА",8149,0
"867","re7.3b","Сколько всего рублей Ваша семья заплатила за бытовую технику: холодильник стиральную машину пылесос швейную машину утюг кухонный комбайн и тому подобное? ","How many rubles your family paid for the appliances: refrigerator washing machine vacuum cleaner sewing machine iron food processor and the like?","    4000 |    15000 |     5000 |    12000 |     3000 |     2000",820,7329
"868","re7.4a","Ваша семья покупала в течение последних 3-х месяцев автомобиль или микроавтобус? ","Your family bought over the last 3 months of a car or van?","Нет | Да | НЕТ ОТВЕТА",8149,0
"869","re7.4b","Сколько всего рублей Ваша семья заплатила за автомобиль или микроавтобус? ","How many rubles your family pay for a car or van?","  300000 |   100000 | 99999997 |   200000 |   400000 |    70000",153,7996
"870","re7.5a","Ваша семья покупала в течение последних 3-х месяцев мотоцикл мотороллер и тому подобное? ","Your family bought within the last 3 months motorcycle motor scooter and the like?","Нет | Да | НЕТ ОТВЕТА",8149,0
"871","re7.5b","Сколько всего рублей Ваша семья заплатила за мотоцикл мотороллер и тому подобное? ","How many rubles your family paid for the motorcycle scooter and the like?"," 25000 |  14000 |  15000 |  17000 | 175000 |  19000",16,8133
"872","re7.6a","Ваша семья покупала в течение последних 3-х месяцев гараж? ","Your family bought over the last 3 months of the garage?","Нет | Да | НЕТ ОТВЕТА",8149,0
"873","re7.6b","Сколько всего рублей Ваша семья заплатила за гараж? ","How many rubles your family paid for the garage?","1.0e+05 | 1.0e+08 | 1.2e+05 | 1.5e+05 | 2.5e+05 | 3.8e+05",10,8139
